Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Estimated revenue (USD),Impressions,Impressions click-through rate (%),Thumbnail Color,Genre,Fandom 
Books Don't Mix With Water Part 4 A Percabeth High School AU Percy Jackson Fanfiction,20-Dec-19,358,64,3.1829,0,0.275,563,6.04,Blue,Getting together,PJO
Fly Back Breast Free Chapter 2:3 A Percabeth Percy Jackson AU Love Story Fanfiction,15-Jan-21,1174,62,5.7146,0,0.38,240,13.75,Blue,Meet cute,PJO
At A Party Like This Part 4/4 - Finale A Percabeth High School AU Percy Jackson Fanfiction Story,30-Sep-20,1016,62,7.7722,0,0.273,212,16.98,Grey,Meet cute,PJO
You're A Mean One Ms Chase Part 4 of 5 A Percabeth Percy Jackson Christmas AU Fanfiction,17-Dec-20,826,61,5.6503,0,0.353,431,8.12,Blue,Holiday,PJO
Just A Duet Part 1 - A Percabeth Show Choir Percy Jackson AU Fanfiction,10-Aug-21,1056,60,5.1562,0,0.264,724,4.97,Blue,Getting together,PJO
Books Don't Mix With Water Part 16 Percabeth Percy Jackson High School AU Fanfiction,3-Jan-21,429,58,3.4351,1,0.108,463,7.99,Blue,Getting together,PJO
You're A Mean One Ms Chase Part 2 of 5 A Percabeth Percy Jackson Christmas AU Fanfiction,7-Dec-20,917,56,6.0227,0,0.412,766,4.44,Grey,Holiday,PJO
I Ask For Your Hand In Marriage Chapter 2 A Percabeth Percy Jackson Royal AU Fanfiction Love Story,25-Feb-21,785,56,4.6574,0,0.178,719,4.87,Blue,Getting together,PJO
I Ask For Your Hand In Marriage Chapter 14 A Percabeth Royal AU Fanfiction,6-Apr-21,893,54,4.2135,0,0.149,283,9.89,Blye,Getting together,PJO
Oh For The Love Of Flowers Finale Ch 5 of 5/A Percy Jackson Percabeth Fanfiction,5-Jan-25,636,52,3.4498,0,0.139,679,3.68,Orange,Fluff,PJO
I Ask For Your Hand In Marriage Chapter 13 A Percabeth Royal AU Fanfiction,4-Apr-21,543,50,2.9254,0,0.063,274,9.85,Blue,Getting together,PJO
I Ask For Your Hand In Marriage Chapter 8 A Percabeth Percy Jackson Royal AU Fanficiton Love Story,25-Mar-21,1358,46,4.7435,0,0.103,299,8.03,,Getting together,PJO
I Ask For Your Hand In Marriage Chapter 3 A Percabeth Percy Jackson Royal AU Fanfiction Love Story,27-Feb-21,1024,46,3.5152,0,0.459,703,4.55,Blue,Getting together,PJO
I Ask For Your Hand In Marriage Chapter 4 A Percabeth Percy Jackson Royal AU Fanfiction Love Story,17-Mar-21,647,44,2.8712,0,0.152,441,6.12,Blue,Getting together,PJO
"Kill You Or Kiss You Ch 1:5/Dramione Harry Potter Fanfiction|Exes To Lovers, Forced Proximity",26-Jan-26,888,44,1.8004,0,0.15,1243,1.93,Green,Angst,Harry Potter
Fly Back Breast Free REUPLOAD Finale Chapter 3:3 A Percy Jackson Club Swim AU Percabeth Fanfiction,26-Jan-21,916,44,4.6439,0,0.286,148,12.16,Blue,Meet cute,PJO
"Wistful Thinking/Jason Grace and Piper Mclean, Percy Jackson OneShot Fanfiction, High School Reunion",23-Apr-22,1104,43,3.4272,0,0.1,1231,2.52,Yellow,Angst,PJO
Oh For The Love Of Flowers Ch 2 of 5/A Percy Jackson Percabeth Fanfiction,12-Dec-24,697,42,3.1661,0,0.145,605,3.8,Orange,Fluff,PJO
I Ask For Your Hand In Marriage Chapter 6 A Percabeth Percy Jackson Royal AU Fanficiton Love Story,21-Mar-21,963,41,4.0606,0,0.102,408,6.37,Blue,Getting together,PJO
I Ask For Your Hand In Marriage Chapter 12 A Percabeth Percy Jackson Royal AU Fanficiton Love Story,2-Apr-21,1161,39,3.7604,0,0.142,276,8.7,Blue,Getting together,PJO
Oh For The Love Of Flowers Ch 3 of 5/A Percy Jackson Percabeth Fanfiction,28-Dec-24,533,39,2.548,0,0.128,534,2.81,Orange,Fluff,PJO
I Ask For Your Hand In Marriage Chapter 5 A Percabeth Percy Jackson Royal AU Fanfiction Love Story,19-Mar-21,1124,37,3.7243,0,0.183,417,6.24,Blue,Getting together,PJO
Oh For The Love Of Flowers Ch 4 of 5/A Percy Jackson Percabeth Fanfiction,2-Jan-25,621,37,2.4823,0,0.085,621,3.54,Orange,Fluff,PJO
Just A Duet Part 3 - A Peracebth Show Choir Percy Jackson AU Fanfiction,22-Aug-21,1042,37,4.3923,0,0.176,313,7.67,Blue,Getting together,PJO
Just A Duet Part 4 - A Percabeth Show Choir Percy Jackson AU Fanfiction,25-Aug-21,1016,37,4.6416,0,0.939,325,5.85,Blue,Getting together,PJO
Kiss Me In My Heels Chapter 1:2/A Miraculous Ladybug Adrienette High School Prom AU Fanfiction,19-Aug-24,750,37,1.4379,0,0.096,654,3.67,Pink,Meet cute,Miraculous
Just A Duet Part 2 - A Percabeth Show Choir Percy Jackson AU Fanfiction,13-Aug-21,1153,36,5.4831,0,0.151,354,6.5,Blue,Getting together,PJO
I Ask For Your Hand In Marriage Chapter 7 A Percabeth Percy Jackson Royal AU Fanficiton Love Story,23-Mar-21,565,36,1.7759,0,0.065,328,6.4,Blue,Getting together,PJO
"In Any Lifetime/A Percy Jackson Jasper Oneshot Fanfiction ~ Angst, Hurt No Comfort, Post-Breakup",29-Sep-25,571,36,1.3289,0,0.055,920,1.63,Brown,Angst,PJO
"Kill You Or Kiss You Ch 2:5/Dramione Harry Potter Fanfiction|Exes To Lovers, Audiobook",10-Feb-26,1149,34,1.8287,0,0.183,1759,1.42,Green,Angst,Harry Potter
I Ask For Your Hand In Marriage Chapter 11 A Percabeth Percy Jackson Royal AU Fanficiton Love Story,31-Mar-21,835,33,2.8246,1,0.071,287,7.67,Blue,Getting together,PJO
I Ask For Your Hand In Marriage Chapter 10 A Percabeth Percy Jackson Royal AU Fanficiton Love Story,29-Mar-21,1119,31,2.9932,0,0.093,270,7.04,Blue,Getting together,PJO
That Was Our Place I Found It First/Miraculous Ladybug Fanfiction|Lukanette AU Angst Exes Oneshot,11-Dec-21,722,30,1.3741,0,0.086,405,4.44,Blue,Angst,Miraculous
Just A Duet Part 6 Finale - A Percabeth Show Choir Percy Jackson AU Fanfiction,3-Sep-21,1074,30,2.8362,0,0.086,237,10.13,Blue,Getting together,PJO
Just A Duet Part 5 - A Percabeth Show Choir Percy Jackson AU Fanfiction,31-Aug-21,1168,30,3.8673,0,0.099,313,6.07,Blue,Getting together,PJO
Rooftop Kisses - A Ladynoir Oneshot Miraculous Ladybug Fanfiction,29-Jun-21,754,29,1.7304,0,0.065,464,4.53,Red,Fluff,Miraculous
Next To You Starstruck Chapter 1:24 An Adrienette Neighbor AU Miraculous Ladybug Fanfiction,4-May-21,1280,29,4.337,0,0.099,438,1.6,,,
I Ask For Your Hand In Marriage Chapter 9 A Percabeth Percy Jackson Royal AU Fanficiton Love Story,27-Mar-21,899,26,2.4651,0,0.082,225,6.22,,,
Washing It All Away (Tears Of Tomorrow) An Adrienette Miraculous Ladybug OneShot Fanfiction,6-Sep-21,1005,21,1.0296,0,0.066,367,3,,,
Next To You Starstruck Chapter 3 An Adrienette Neighbor AU Miraculous Ladybug Fanfiction,8-May-21,1110,21,3.6561,0,0.058,281,0,,,
I Laugh to Cover the Pain A Leo Valdez Percy Jackson Fanfiction,10-Oct-19,319,20,0.7286,0,0.101,313,5.43,,,
"Kill You Or Kiss You Ch 3:5/Dramione Harry Potter Fanfiction|Exes To Lovers, Audiobook",23-Feb-26,1090,18,0.7048,0,0.077,914,1.64,,,
Next To You Starstruck Chapter 2 An Adrienette Neighbor AU Miraculous Ladybug Fanfiction,6-May-21,874,17,3.037,0,0.046,292,0.34,,,
It's Been So Long Part 1 An Adrienette Miraculous Ladybug Fanfiction,22-Jul-19,832,14,0.7001,0,0.003,138,2.9,,,
A Kiss For A Card Chapter 1:3 An Adrienette Miraculous Ladybug Valentine's Day Love Story Fanfiction,12-Feb-21,959,14,0.9494,0,0.04,181,3.87,,,
Bring Me Java(Bring Me Joy)Ch1/Miraculous Ladybug Adrienette Audiofic|Cafe AU Fluff MeetCute Pining,26-Jan-22,1019,14,1.1051,0,0.073,304,1.97,,,
Next To You Starstruck Chapter 5 An Adrienette Neighbor AU Miraculous Ladybug Fanfiction,12-May-21,1376,13,2.5925,0,0.044,239,0.42,,,
OLD Fly Back Breast Free Chapter 3:3 A Percabeth AU Percy Jackson Love Story Fanfiction,21-Jan-21,931,13,0.5874,0,0.014,104,7.69,,,
In The Bright Moonlight (You're My Sun)Day 1 - Ladynoir July Miraculous Ladybug Fanfiction,1-Jul-21,644,12,0.8042,0,0.061,198,3.03,,,
Next To You Starstruck Chapter 4 An Adrienette Neighbor AU Miraculous Ladybug Fanfiction,10-May-21,809,12,1.8598,0,0.04,264,0.38,,,
Next To You Starstruck Chapter 9 An Adrienette Neighbor AU Miraculous Ladybug Fanfiction,22-May-21,1379,12,2.2502,0,0.024,164,0.61,,,
Will you be my Valentine A Miraculous Ladybug OneShot Fanfiction,14-Feb-20,1361,11,1.1432,1,0.027,212,3.77,,,
It's Been So Long Part 13 An Adrienette Miraculous Ladybug Fanfiction,24-Apr-20,1206,11,0.6105,0,,110,2.73,,,
Next To You Starstruck Chapter 12 An Adrienette Neighbor AU Miraculous Ladybug Fanfiction,1-Jun-21,1295,11,1.8787,0,0.023,154,1.3,,,
Kiss Me In My Heels Chapter 2:2 Finale/Miraculous Ladybug Adrienette High School Prom AU Fanfiction,24-Aug-24,453,11,0.5808,0,0.034,357,1.4,,,
